TM001	Take Down	とっしん	猛撞
TM102	Gunk Shot	ダストシュート	垃圾射击
TM103	Substitute	みがわり	替身
TM104	Iron Defense	てっぺき	铁壁
TM105	X-Scissor	シザークロス	十字剪
TM106	Drill Run	ドリルライナー	直冲钻
TM107	Will-O-Wisp	おにび	磷火
TM108	Crunch	かみくだく	咬碎
TM109	Trick	トリック	戏法
TM110	Liquidation	アクアブレイク	水流裂破
TM111	Giga Drain	ギガドレイン	终极吸取
TM112	Aura Sphere	はどうだん	波导弹
TM113	Tailwind	おいかぜ	顺风
TM114	Shadow Ball	シャドーボール	暗影球
TM115	Dragon Pulse	りゅうのはどう	龙之波动
TM116	Stealth Rock	ステルスロック	隐形岩
TM117	Hyper Voice	ハイパーボイス	巨声
TM118	Heat Wave	ねっぷう	热风
TM119	Energy Ball	エナジーボール	能量球
TM120	Psychic	サイコキネシス	精神强念
TM121	Heavy Slam	ヘビーボンバー	重磅冲撞
TM122	Encore	アンコール	再来一次
TM123	Surf	なみのり	冲浪
TM124	Ice Spinner	アイススピナー	冰旋
TM125	Flamethrower	かえんほうしゃ	喷射火焰
TM126	Thunderbolt	１０まんボルト	十万伏特
TM127	Play Rough	じゃれつく	嬉闹
TM128	Amnesia	ドわすれ	瞬间失忆
TM129	Calm Mind	めいそう	冥想
TM130	Helping Hand	てだすけ	帮助
TM131	Pollen Puff	かふんだんご	花粉团
TM132	Baton Pass	バトンタッチ	接棒
TM133	Earth Power	だいちのちから	大地之力
TM134	Reversal	きしかいせい	绝处逢生
TM135	Ice Beam	れいとうビーム	冰冻光束
TM136	Electric Terrain	エレキフィールド	电气场地
TM137	Grassy Terrain	グラスフィールド	青草场地
TM138	Psychic Terrain	サイコフィールド	精神场地
TM139	Misty Terrain	ミストフィールド	薄雾场地
TM140	Nasty Plot	わるだくみ	诡计
TM141	Fire Blast	だいもんじ	大字爆炎
TM142	Hydro Pump	ハイドロポンプ	水炮
TM143	Blizzard	ふぶき	暴风雪
TM144	Fire Pledge	ほのおのちかい	火之誓约
TM145	Water Pledge	みずのちかい	水之誓约
TM146	Grass Pledge	くさのちかい	草之誓约
TM147	Wild Charge	ワイルドボルト	疯狂伏特
TM148	Sludge Bomb	ヘドロばくだん	污泥炸弹
TM149	Earthquake	じしん	地震
TM150	Stone Edge	ストーンエッジ	尖石攻击
TM151	Phantom Force	ゴーストダイブ	潜灵奇袭
TM152	Giga Impact	ギガインパクト	终极冲击
TM153	Blast Burn	ブラストバーン	爆炸烈焰
TM154	Hydro Cannon	ハイドロカノン	加农水炮
TM155	Frenzy Plant	ハードプラント	疯狂植物
TM156	Outrage	げきりん	逆鳞
TM157	Overheat	オーバーヒート	过热
TM158	Focus Blast	きあいだま	真气弹
TM159	Leaf Storm	リーフストーム	飞叶风暴
TM160	Hurricane	ぼうふう	暴风
TM161	Trick Room	トリックルーム	戏法空间
TM162	Bug Buzz	むしのさざめき	虫鸣
TM163	Hyper Beam	はかいこうせん	破坏光线
TM164	Brave Bird	ブレイブバード	勇鸟猛攻
TM165	Flare Blitz	フレアドライブ	闪焰冲锋
TM166	Thunder	かみなり	打雷
TM167	Close Combat	インファイト	近身战
TM168	Solar Beam	ソーラービーム	日光束
TM169	Draco Meteor	りゅうせいぐん	流星群
TM170	Steel Beam	てっていこうせん	铁蹄光线
TM171	Tera Blast	テラバースト	太晶爆发
TM172	Roar	ほえる	吼叫
TM173	Charge	じゅうでん	充电
TM174	Haze	くろいきり	黑雾
TM175	Toxic	どくどく	剧毒
TM176	Sand Tomb	すなじごく	流沙深渊
TM177	Spite	うらみ	怨恨
TM178	Gravity	じゅうりょく	重力
TM179	Smack Down	うちおとす	击落
TM180	Gyro Ball	ジャイロボール	陀螺球
TM181	Knock Off	はたきおとす	拍落
TM182	Bug Bite	むしくい	虫咬
TM183	Super Fang	いかりのまえば	愤怒门牙
TM184	Vacuum Wave	しんくうは	真空波
TM185	Lunge	とびかかる	猛扑
TM186	High Horsepower	１０まんばりき	十万马力
TM187	Icicle Spear	つららばり	冰锥
TM188	Scald	ねっとう	热水
TM189	Heat Crash	ヒートスタンプ	高温重压
TM190	Solar Blade	ソーラーブレード	日光刃
TM191	Uproar	さわぐ	吵闹
TM192	Focus Punch	きあいパンチ	真气拳
TM193	Weather Ball	ウェザーボール	气象球
TM194	Grassy Glide	グラススライダー	青草滑梯
TM195	Burning Jealousy	しっとのほのお	妒火
TM196	Flip Turn	クイックターン	快速折返
TM197	Dual Wingbeat	ダブルウイング	双翼
TM198	Poltergeist	ポルターガイスト	灵骚
TM199	Lash Out	うっぷんばらし	泄愤
TM200	Scale Shot	スケイルショット	鳞射
TM201	Misty Explosion	ミストバースト	薄雾炸裂
TM202	Pain Split	いたみわけ	分担痛楚
TM203	Psych Up	じこあんじ	自我暗示
TM204	Double-Edge	すてみタックル	舍身冲撞
TM205	Endeavor	がむしゃら	蛮干
TM206	Petal Blizzard	はなふぶき	落英缤纷
TM207	Temper Flare	やけっぱち	豁出去
TM208	Whirlpool	うずしお	潮旋
TM209	Muddy Water	だくりゅう	浊流
TM210	Supercell Slam	サンダーダイブ	闪电强袭
TM211	Electroweb	エレキネット	电网
TM212	Triple Axel	トリプルアクセル	三旋击
TM213	Coaching	コーチング	指导
TM214	Sludge Wave	ヘドロウェーブ	污泥波
TM215	Scorching Sands	ねっさのだいち	热沙大地
TM216	Feather Dance	フェザーダンス	羽毛舞
TM217	Future Sight	みらいよち	预知未来
TM218	Expanding Force	ワイドフォース	广域战力
TM219	Skitter Smack	はいよるいちげき	爬击
TM220	Meteor Beam	メテオビーム	流星光束
TM221	Throat Chop	じごくづき	深渊突刺
TM222	Breaking Swipe	ワイドブレイカー	广域破坏
TM223	Metal Sound	きんぞくおん	金属音
TM224	Curse	のろい	咒术
TM225	Hard Press	ハードプレス	硬压
TM226	Dragon Cheer	ドラゴンエール	龙声鼓舞
TM227	Alluring Voice	みわくのボイス	魅诱之声
TM228	Psychic Noise	サイコノイズ	精神噪音
TM229	Upper Hand	はやてがえし	快手还击
