ID	HEX	名称	文名称	英文名称	版本存在
293	0125	力量护踝	パワーアンクル	Power Anklet	TRUE
294	0126	力量负重	パワーウエイト	Power Weight	TRUE
295	0127	美丽空壳	きれいなぬけがら	Shed Shell	TRUE
296	0128	大根茎	おおきなねっこ	Big Root	TRUE
297	0129	讲究眼镜	こだわりメガネ	Choice Specs	TRUE
298	012A	火球石板	ひのたまプレート	Flame Plate	TRUE
299	012B	水滴石板	しずくプレート	Splash Plate	TRUE
300	012C	雷电石板	いかずちプレート	Zap Plate	TRUE
301	012D	碧绿石板	みどりのプレート	Meadow Plate	TRUE
302	012E	冰柱石板	つららのプレート	Icicle Plate	TRUE
303	012F	拳头石板	こぶしのプレート	Fist Plate	TRUE
304	0130	剧毒石板	もうどくプレート	Toxic Plate	TRUE
305	0131	大地石板	だいちのプレート	Earth Plate	TRUE
306	0132	蓝天石板	あおぞらプレート	Sky Plate	TRUE
307	0133	神奇石板	ふしぎのプレート	Mind Plate	TRUE
308	0134	玉虫石板	たまむしプレート	Insect Plate	TRUE
309	0135	岩石石板	がんせきプレート	Stone Plate	TRUE
310	0136	妖怪石板	もののけプレート	Spooky Plate	TRUE
311	0137	龙之石板	りゅうのプレート	Draco Plate	TRUE
312	0138	恶颜石板	こわもてプレート	Dread Plate	TRUE
313	0139	钢铁石板	こうてつプレート	Iron Plate	TRUE
314	013A	奇异薰香	あやしいおこう	Odd Incense	TRUE
315	013B	岩石薰香	がんせきおこう	Rock Incense	TRUE
316	013C	饱腹薰香	まんぷくおこう	Full Incense	TRUE
317	013D	涟漪薰香	さざなみのおこう	Wave Incense	TRUE
318	013E	花朵薰香	おはなのおこう	Rose Incense	TRUE
319	013F	幸运薰香	こううんのおこう	Luck Incense	TRUE
320	0140	洁净薰香	きよめのおこう	Pure Incense	TRUE
321	0141	护具	プロテクター	Protector	TRUE
322	0142	电力增幅器	エレキブースター	Electirizer	TRUE
323	0143	熔岩增幅器	マグマブースター	Magmarizer	TRUE
324	0144	可疑补丁	あやしいパッチ	Dubious Disc	TRUE
325	0145	灵界之布	れいかいのぬの	Reaper Cloth	TRUE
326	0146	锐利之爪	するどいツメ	Razor Claw	TRUE
327	0147	锐利之牙	するどいキバ	Razor Fang	TRUE
328	0148	招式学习器００１	わざマシン００１	TM001	TRUE
329	0149	招式学习器００２	わざマシン００２	TM002	TRUE
330	014A	招式学习器００３	わざマシン００３	TM003	TRUE
331	014B	招式学习器００４	わざマシン００４	TM004	TRUE
332	014C	招式学习器００５	わざマシン００５	TM005	TRUE
333	014D	招式学习器００６	わざマシン００６	TM006	TRUE
334	014E	招式学习器００７	わざマシン００７	TM007	TRUE
335	014F	招式学习器００８	わざマシン００８	TM008	TRUE
336	0150	招式学习器００９	わざマシン００９	TM009	TRUE
337	0151	招式学习器０１０	わざマシン０１０	TM010	TRUE
338	0152	招式学习器０１１	わざマシン０１１	TM011	TRUE
339	0153	招式学习器０１２	わざマシン０１２	TM012	TRUE
340	0154	招式学习器０１３	わざマシン０１３	TM013	TRUE
341	0155	招式学习器０１４	わざマシン０１４	TM014	TRUE
342	0156	招式学习器０１５	わざマシン０１５	TM015	TRUE
343	0157	招式学习器０１６	わざマシン０１６	TM016	TRUE
344	0158	招式学习器０１７	わざマシン０１７	TM017	TRUE
345	0159	招式学习器０１８	わざマシン０１８	TM018	TRUE
346	015A	招式学习器０１９	わざマシン０１９	TM019	TRUE
347	015B	招式学习器０２０	わざマシン０２０	TM020	TRUE
348	015C	招式学习器０２１	わざマシン０２１	TM021	TRUE
349	015D	招式学习器０２２	わざマシン０２２	TM022	TRUE
350	015E	招式学习器０２３	わざマシン０２３	TM023	TRUE
351	015F	招式学习器０２４	わざマシン０２４	TM024	TRUE
352	0160	招式学习器０２５	わざマシン０２５	TM025	TRUE
353	0161	招式学习器０２６	わざマシン０２６	TM026	TRUE
354	0162	招式学习器０２７	わざマシン０２７	TM027	TRUE
355	0163	招式学习器０２８	わざマシン０２８	TM028	TRUE
356	0164	招式学习器０２９	わざマシン０２９	TM029	TRUE
357	0165	招式学习器０３０	わざマシン０３０	TM030	TRUE
358	0166	招式学习器０３１	わざマシン０３１	TM031	TRUE
359	0167	招式学习器０３２	わざマシン０３２	TM032	TRUE
360	0168	招式学习器０３３	わざマシン０３３	TM033	TRUE
361	0169	招式学习器０３４	わざマシン０３４	TM034	TRUE
362	016A	招式学习器０３５	わざマシン０３５	TM035	TRUE
363	016B	招式学习器０３６	わざマシン０３６	TM036	TRUE
364	016C	招式学习器０３７	わざマシン０３７	TM037	TRUE
365	016D	招式学习器０３８	わざマシン０３８	TM038	TRUE
366	016E	招式学习器０３９	わざマシン０３９	TM039	TRUE
367	016F	招式学习器０４０	わざマシン０４０	TM040	TRUE
368	0170	招式学习器０４１	わざマシン０４１	TM041	TRUE
369	0171	招式学习器０４２	わざマシン０４２	TM042	TRUE
370	0172	招式学习器０４３	わざマシン０４３	TM043	TRUE
371	0173	招式学习器０４４	わざマシン０４４	TM044	TRUE
372	0174	招式学习器０４５	わざマシン０４５	TM045	TRUE
373	0175	招式学习器０４６	わざマシン０４６	TM046	TRUE
374	0176	招式学习器０４７	わざマシン０４７	TM047	TRUE
375	0177	招式学习器０４８	わざマシン０４８	TM048	TRUE
376	0178	招式学习器０４９	わざマシン０４９	TM049	TRUE
377	0179	招式学习器０５０	わざマシン０５０	TM050	TRUE
378	017A	招式学习器０５１	わざマシン０５１	TM051	TRUE
379	017B	招式学习器０５２	わざマシン０５２	TM052	TRUE
380	017C	招式学习器０５３	わざマシン０５３	TM053	TRUE
381	017D	招式学习器０５４	わざマシン０５４	TM054	TRUE
382	017E	招式学习器０５５	わざマシン０５５	TM055	TRUE
383	017F	招式学习器０５６	わざマシン０５６	TM056	TRUE
384	0180	招式学习器０５７	わざマシン０５７	TM057	TRUE
385	0181	招式学习器０５８	わざマシン０５８	TM058	TRUE
386	0182	招式学习器０５９	わざマシン０５９	TM059	TRUE
387	0183	招式学习器０６０	わざマシン０６０	TM060	TRUE
388	0184	招式学习器０６１	わざマシン０６１	TM061	TRUE
389	0185	招式学习器０６２	わざマシン０６２	TM062	TRUE
390	0186	招式学习器０６３	わざマシン０６３	TM063	TRUE
391	0187	招式学习器０６４	わざマシン０６４	TM064	TRUE
392	0188	招式学习器０６５	わざマシン０６５	TM065	TRUE
393	0189	招式学习器０６６	わざマシン０６６	TM066	TRUE
394	018A	招式学习器０６７	わざマシン０６７	TM067	TRUE
395	018B	招式学习器０６８	わざマシン０６８	TM068	TRUE
396	018C	招式学习器０６９	わざマシン０６９	TM069	TRUE
397	018D	招式学习器０７０	わざマシン０７０	TM070	TRUE
398	018E	招式学习器０７１	わざマシン０７１	TM071	TRUE
399	018F	招式学习器０７２	わざマシン０７２	TM072	TRUE
400	0190	招式学习器０７３	わざマシン０７３	TM073	TRUE
401	0191	招式学习器０７４	わざマシン０７４	TM074	TRUE
402	0192	招式学习器０７５	わざマシン０７５	TM075	TRUE
403	0193	招式学习器０７６	わざマシン０７６	TM076	TRUE
404	0194	招式学习器０７７	わざマシン０７７	TM077	TRUE
405	0195	招式学习器０７８	わざマシン０７８	TM078	TRUE
406	0196	招式学习器０７９	わざマシン０７９	TM079	TRUE
407	0197	招式学习器０８０	わざマシン０８０	TM080	TRUE
408	0198	招式学习器０８１	わざマシン０８１	TM081	TRUE
409	0199	招式学习器０８２	わざマシン０８２	TM082	TRUE
410	019A	招式学习器０８３	わざマシン０８３	TM083	TRUE
411	019B	招式学习器０８４	わざマシン０８４	TM084	TRUE
412	019C	招式学习器０８５	わざマシン０８５	TM085	TRUE
413	019D	招式学习器０８６	わざマシン０８６	TM086	TRUE
414	019E	招式学习器０８７	わざマシン０８７	TM087	TRUE
415	019F	招式学习器０８８	わざマシン０８８	TM088	TRUE
416	01A0	招式学习器０８９	わざマシン０８９	TM089	TRUE
417	01A1	招式学习器０９０	わざマシン０９０	TM090	TRUE
418	01A2	招式学习器０９１	わざマシン０９１	TM091	TRUE
419	01A3	招式学习器０９２	わざマシン０９２	TM092	TRUE
420	01A4	秘传学习器０１	ひでんマシン０１	HM01	#N/A
421	01A5	秘传学习器０２	ひでんマシン０２	HM02	TRUE
422	01A6	秘传学习器０３	ひでんマシン０３	HM03	#N/A
423	01A7	秘传学习器０４	ひでんマシン０４	HM04	#N/A
424	01A8	秘传学习器０５	ひでんマシン０５	HM05	#N/A
425	01A9	秘传学习器０６	ひでんマシン０６	HM06	#N/A
426	01AA	？？？	？？？	???	#N/A
427	01AB	？？？	？？？	???	#N/A
428	01AC	探险套装	たんけんセット	Explorer Kit	#N/A
429	01AD	宝物袋	たからぶくろ	Loot Sack	#N/A
430	01AE	规则书	ルールブック	Rule Book	#N/A
431	01AF	宝可追踪	ポケトレ	Poké Radar	#N/A
432	01B0	点数卡	ポイントカード	Point Card	#N/A
433	01B1	冒险笔记	ぼうけんノート	Guidebook	#N/A
434	01B2	贴纸盒	シールいれ	Sticker Case	#N/A
435	01B3	饰品盒	アクセサリーいれ	Fashion Case	#N/A
436	01B4	贴纸袋	シールぶくろ	Sticker Bag	#N/A
437	01B5	朋友手册	ともだちてちょう	Pal Pad	#N/A
438	01B6	发电厂钥匙	はつでんしょキー	Works Key	#N/A
439	01B7	古代护符	こだいのおまもり	Old Charm	#N/A
440	01B8	银河队钥匙	ギンガだんのカギ	Galactic Key	#N/A
441	01B9	红色锁链	あかいくさり	Red Chain	#N/A
442	01BA	城镇地图	タウンマップ	Town Map	#N/A
