图鉴序号	名称	中文	日文
154	Meganium	大竺葵	メガニウム
155	Cyndaquil	火球鼠	ヒノアラシ
156	Quilava	火岩鼠	マグマラシ
157	Typhlosion	火暴兽	バクフーン
158	Totodile	小锯鳄	ワニノコ
159	Croconaw	蓝鳄	アリゲイツ
160	Feraligatr	大力鳄	オーダイル
161	Sentret	尾立	オタチ
162	Furret	大尾立	オオタチ
163	Hoothoot	咕咕	ホーホー
164	Noctowl	猫头夜鹰	ヨルノズク
167	Spinarak	圆丝蛛	イトマル
168	Ariados	阿利多斯	アリアドス
170	Chinchou	灯笼鱼	チョンチー
171	Lanturn	电灯怪	ランターン
172	Pichu	皮丘	ピチュー
173	Cleffa	皮宝宝	ピィ
174	Igglybuff	宝宝丁	ププリン
179	Mareep	咩利羊	メリープ
180	Flaaffy	茸茸羊	モココ
181	Ampharos	电龙	デンリュウ
182	Bellossom	美丽花	キレイハナ
183	Marill	玛力露	マリル
184	Azumarill	玛力露丽	マリルリ
185	Sudowoodo	树才怪	ウソッキー
186	Politoed	蚊香蛙皇	ニョロトノ
187	Hoppip	毽子草	ハネッコ
188	Skiploom	毽子花	ポポッコ
189	Jumpluff	毽子棉	ワタッコ
190	Aipom	长尾怪手	エイパム
191	Sunkern	向日种子	ヒマナッツ
192	Sunflora	向日花怪	キマワリ
193	Yanma	蜻蜻蜓	ヤンヤンマ
194	Wooper	乌波	ウパー
195	Quagsire	沼王	ヌオー
196	Espeon	太阳伊布	エーフィ
197	Umbreon	月亮伊布	ブラッキー
198	Murkrow	黑暗鸦	ヤミカラス
199	Slowking	呆呆王	ヤドキング
200	Misdreavus	梦妖	ムウマ
203	Girafarig	麒麟奇	キリンリキ
204	Pineco	榛果球	クヌギダマ
205	Forretress	佛烈托斯	フォレトス
206	Dunsparce	土龙弟弟	ノコッチ
207	Gligar	天蝎	グライガー
209	Snubbull	布鲁	ブルー
210	Granbull	布鲁皇	グランブル
211	Qwilfish	千针鱼	ハリーセン
212	Scizor	巨钳螳螂	ハッサム
214	Heracross	赫拉克罗斯	ヘラクロス
215	Sneasel	狃拉	ニューラ
216	Teddiursa	熊宝宝	ヒメグマ
217	Ursaring	圈圈熊	リングマ
218	Slugma	熔岩虫	マグマッグ
219	Magcargo	熔岩蜗牛	マグカルゴ
220	Swinub	小山猪	ウリムー
221	Piloswine	长毛猪	イノムー
225	Delibird	信使鸟	デリバード
227	Skarmory	盔甲鸟	エアームド
228	Houndour	戴鲁比	デルビル
229	Houndoom	黑鲁加	ヘルガー
230	Kingdra	刺龙王	キングドラ
231	Phanpy	小小象	ゴマゾウ
232	Donphan	顿甲	ドンファン
233	Porygon2	多边兽２型	ポリゴン２
234	Stantler	惊角鹿	オドシシ
235	Smeargle	图图犬	ドーブル
236	Tyrogue	无畏小子	バルキー
237	Hitmontop	战舞郎	カポエラー
239	Elekid	电击怪	エレキッド
240	Magby	鸭嘴宝宝	ブビィ
242	Blissey	幸福蛋	ハピナス
246	Larvitar	幼基拉斯	ヨーギラス
247	Pupitar	沙基拉斯	サナギラス
248	Tyranitar	班基拉斯	バンギラス
252	Treecko	木守宫	キモリ
253	Grovyle	森林蜥蜴	ジュプトル
254	Sceptile	蜥蜴王	ジュカイン
255	Torchic	火稚鸡	アチャモ
256	Combusken	力壮鸡	ワカシャモ
257	Blaziken	火焰鸡	バシャーモ
258	Mudkip	水跃鱼	ミズゴロウ
259	Marshtomp	沼跃鱼	ヌマクロー
260	Swampert	巨沼怪	ラグラージ
261	Poochyena	土狼犬	ポチエナ
262	Mightyena	大狼犬	グラエナ
270	Lotad	莲叶童子	ハスボー
271	Lombre	莲帽小童	ハスブレロ
272	Ludicolo	乐天河童	ルンパッパ
273	Seedot	橡实果	タネボー
274	Nuzleaf	长鼻叶	コノハナ
275	Shiftry	狡猾天狗	ダーテング
278	Wingull	长翅鸥	キャモメ
279	Pelipper	大嘴鸥	ペリッパー
280	Ralts	拉鲁拉丝	ラルトス
281	Kirlia	奇鲁莉安	キルリア
282	Gardevoir	沙奈朵	サーナイト
283	Surskit	溜溜糖球	アメタマ
284	Masquerain	雨翅蛾	アメモース
285	Shroomish	蘑蘑菇	キノココ
286	Breloom	斗笠菇	キノガッサ
287	Slakoth	懒人獭	ナマケロ
288	Vigoroth	过动猿	ヤルキモノ
289	Slaking	请假王	ケッキング
296	Makuhita	幕下力士	マクノシタ
297	Hariyama	铁掌力士	ハリテヤマ
298	Azurill	露力丽	ルリリ
299	Nosepass	朝北鼻	ノズパス
302	Sableye	勾魂眼	ヤミラミ
307	Meditite	玛沙那	アサナン
308	Medicham	恰雷姆	チャーレム
311	Plusle	正电拍拍	プラスル
312	Minun	负电拍拍	マイナン
313	Volbeat	电萤虫	バルビート
314	Illumise	甜甜萤	イルミーゼ
316	Gulpin	溶食兽	ゴクリン
317	Swalot	吞食兽	マルノーム
322	Numel	呆火驼	ドンメル
323	Camerupt	喷火驼	バクーダ
324	Torkoal	煤炭龟	コータス
325	Spoink	跳跳猪	バネブー
326	Grumpig	噗噗猪	ブーピッグ
328	Trapinch	大颚蚁	ナックラー
329	Vibrava	超音波幼虫	ビブラーバ
330	Flygon	沙漠蜻蜓	フライゴン
331	Cacnea	刺球仙人掌	サボネア
332	Cacturne	梦歌仙人掌	ノクタス
333	Swablu	青绵鸟	チルット
334	Altaria	七夕青鸟	チルタリス
335	Zangoose	猫鼬斩	ザングース
336	Seviper	饭匙蛇	ハブネーク
339	Barboach	泥泥鳅	ドジョッチ
340	Whiscash	鲶鱼王	ナマズン
341	Corphish	龙虾小兵	ヘイガニ
342	Crawdaunt	铁螯龙虾	シザリガー
349	Feebas	丑丑鱼	ヒンバス
350	Milotic	美纳斯	ミロカロス
353	Shuppet	怨影娃娃	カゲボウズ
354	Banette	诅咒娃娃	ジュペッタ
355	Duskull	夜巡灵	ヨマワル
356	Dusclops	彷徨夜灵	サマヨール
357	Tropius	热带龙	トロピウス
358	Chimecho	风铃铃	チリーン
361	Snorunt	雪童子	ユキワラシ
362	Glalie	冰鬼护	オニゴーリ
370	Luvdisc	爱心鱼	ラブカス
371	Bagon	宝贝龙	タツベイ
372	Shelgon	甲壳龙	コモルー
373	Salamence	暴飞龙	ボーマンダ
374	Beldum	铁哑铃	ダンバル
375	Metang	金属怪	メタング
376	Metagross	巨金怪	メタグロス
382	Kyogre	盖欧卡	カイオーガ
383	Groudon	固拉多	グラードン
384	Rayquaza	烈空坐	レックウザ
385	Jirachi	基拉祈	ジラーチ
387	Turtwig	草苗龟	ナエトル
388	Grotle	树林龟	ハヤシガメ
389	Torterra	土台龟	ドダイトス
390	Chimchar	小火焰猴	ヒコザル
391	Monferno	猛火猴	モウカザル
392	Infernape	烈焰猴	ゴウカザル
393	Piplup	波加曼	ポッチャマ
394	Prinplup	波皇子	ポッタイシ
395	Empoleon	帝王拿波	エンペルト
396	Starly	姆克儿	ムックル
397	Staravia	姆克鸟	ムクバード
398	Staraptor	姆克鹰	ムクホーク
401	Kricketot	圆法师	コロボーシ
402	Kricketune	音箱蟀	コロトック
403	Shinx	小猫怪	コリンク
404	Luxio	勒克猫	ルクシオ
405	Luxray	伦琴猫	レントラー
408	Cranidos	头盖龙	ズガイドス
409	Rampardos	战槌龙	ラムパルド
410	Shieldon	盾甲龙	タテトプス
411	Bastiodon	护城龙	トリデプス
415	Combee	三蜜蜂	ミツハニー
416	Vespiquen	蜂女王	ビークイン
417	Pachirisu	帕奇利兹	パチリス
418	Buizel	泳圈鼬	ブイゼル
419	Floatzel	浮潜鼬	フローゼル
422	Shellos	无壳海兔	カラナクシ
423	Gastrodon	海兔兽	トリトドン
424	Ambipom	双尾怪手	エテボース
425	Drifloon	飘飘球	フワンテ
426	Drifblim	随风球	フワライド
429	Mismagius	梦妖魔	ムウマージ
430	Honchkrow	乌鸦头头	ドンカラス
433	Chingling	铃铛响	リーシャン
434	Stunky	臭鼬噗	スカンプー
435	Skuntank	坦克臭鼬	スカタンク
436	Bronzor	铜镜怪	ドーミラー
437	Bronzong	青铜钟	ドータクン
438	Bonsly	盆才怪	ウソハチ
440	Happiny	小福蛋	ピンプク
442	Spiritomb	花岩怪	ミカルゲ
443	Gible	圆陆鲨	フカマル
443	Gible	圆陆鲨	フカマル
444	Gabite	尖牙陆鲨	ガバイト
445	Garchomp	烈咬陆鲨	ガブリアス
446	Munchlax	小卡比兽	ゴンベ
447	Riolu	利欧路	リオル
448	Lucario	路卡利欧	ルカリオ
449	Hippopotas	沙河马	ヒポポタス
450	Hippowdon	河马兽	カバルドン
453	Croagunk	不良蛙	グレッグル
454	Toxicroak	毒骷蛙	ドクロッグ
456	Finneon	荧光鱼	ケイコウオ
457	Lumineon	霓虹鱼	ネオラント
459	Snover	雪笠怪	ユキカブリ
460	Abomasnow	暴雪王	ユキノオー
461	Weavile	玛狃拉	マニューラ
462	Magnezone	自爆磁怪	ジバコイル
464	Rhyperior	超甲狂犀	ドサイドン
466	Electivire	电击魔兽	エレキブル
467	Magmortar	鸭嘴炎兽	ブーバーン
469	Yanmega	远古巨蜓	メガヤンマ
470	Leafeon	叶伊布	リーフィア
471	Glaceon	冰伊布	グレイシア
472	Gliscor	天蝎王	グライオン
473	Mamoswine	象牙猪	マンムー
474	Porygon-Z	多边兽乙型	ポリゴンＺ
475	Gallade	艾路雷朵	エルレイド
476	Probopass	大朝北鼻	ダイノーズ
477	Dusknoir	黑夜魔灵	ヨノワール
478	Froslass	雪妖女	ユキメノコ
479	Rotom	洛托姆	ロトム
480	Uxie	由克希	ユクシー
481	Mesprit	艾姆利多	エムリット
482	Azelf	亚克诺姆	アグノム
483	Dialga	帝牙卢卡	ディアルガ
484	Palkia	帕路奇亚	パルキア
485	Heatran	席多蓝恩	ヒードラン
487	Giratina	骑拉帝纳	ギラティナ
488	Cresselia	克雷色利亚	クレセリア
489	Phione	霏欧纳	フィオネ
490	Manaphy	玛纳霏	マナフィ
491	Darkrai	达克莱伊	ダークライ
492	Shaymin	谢米	シェイミ
493	Arceus	阿尔宙斯	アルセウス
495	Snivy	藤藤蛇	ツタージャ
496	Servine	青藤蛇	ジャノビー
497	Serperior	君主蛇	ジャローダ
498	Tepig	暖暖猪	ポカブ
499	Pignite	炒炒猪	チャオブー
500	Emboar	炎武王	エンブオー
501	Oshawott	水水獭	ミジュマル
502	Dewott	双刃丸	フタチマル
503	Samurott	大剑鬼	ダイケンキ
522	Blitzle	斑斑马	シママ
523	Zebstrika	雷电斑马	ゼブライカ
529	Drilbur	螺钉地鼠	モグリュー
530	Excadrill	龙头地鼠	ドリュウズ
532	Timburr	搬运小匠	ドッコラー
533	Gurdurr	铁骨土人	ドテッコツ
534	Conkeldurr	修建老匠	ローブシン
540	Sewaddle	虫宝包	クルミル
541	Swadloon	宝包茧	クルマユ
542	Leavanny	保姆虫	ハハコモリ
546	Cottonee	木棉球	モンメン
547	Whimsicott	风妖精	エルフーン
548	Petilil	百合根娃娃	チュリネ
549	Lilligant	裙儿小姐	ドレディア
550	Basculin	野蛮鲈鱼	バスラオ
551	Sandile	黑眼鳄	メグロコ
552	Krokorok	混混鳄	ワルビル
553	Krookodile	流氓鳄	ワルビアル
559	Scraggy	滑滑小子	ズルッグ
560	Scrafty	头巾混混	ズルズキン
570	Zorua	索罗亚	ゾロア
571	Zoroark	索罗亚克	ゾロアーク
572	Minccino	泡沫栗鼠	チラーミィ
573	Cinccino	奇诺栗鼠	チラチーノ
574	Gothita	哥德宝宝	ゴチム
575	Gothorita	哥德小童	ゴチミル
576	Gothitelle	哥德小姐	ゴチルゼル
577	Solosis	单卵细胞球	ユニラン
578	Duosion	双卵细胞球	ダブラン
579	Reuniclus	人造细胞卵	ランクルス
580	Ducklett	鸭宝宝	コアルヒー
581	Swanna	舞天鹅	スワンナ
585	Deerling	四季鹿	シキジカ
586	Sawsbuck	萌芽鹿	メブキジカ
590	Foongus	哎呀球菇	タマゲタケ
591	Amoonguss	败露球菇	モロバレル
594	Alomomola	保姆曼波	ママンボウ
595	Joltik	电电虫	バチュル
596	Galvantula	电蜘蛛	デンチュラ
602	Tynamo	麻麻小鱼	シビシラス
603	Eelektrik	麻麻鳗	シビビール
604	Eelektross	麻麻鳗鱼王	シビルドン
607	Litwick	烛光灵	ヒトモシ
608	Lampent	灯火幽灵	ランプラー
609	Chandelure	水晶灯火灵	シャンデラ
610	Axew	牙牙	キバゴ
611	Fraxure	斧牙龙	オノンド
612	Haxorus	双斧战龙	オノノクス
613	Cubchoo	喷嚏熊	クマシュン
614	Beartic	冻原熊	ツンベアー
615	Cryogonal	几何雪花	フリージオ
619	Mienfoo	功夫鼬	コジョフー
620	Mienshao	师父鼬	コジョンド
622	Golett	泥偶小人	ゴビット
623	Golurk	泥偶巨人	ゴルーグ
624	Pawniard	驹刀小兵	コマタナ
625	Bisharp	劈斩司令	キリキザン
627	Rufflet	毛头小鹰	ワシボン
628	Braviary	勇士雄鹰	ウォーグル
629	Vullaby	秃鹰丫头	バルチャイ
630	Mandibuzz	秃鹰娜	バルジーナ
633	Deino	单首龙	モノズ
634	Zweilous	双首暴龙	ジヘッド
635	Hydreigon	三首恶龙	サザンドラ
636	Larvesta	燃烧虫	メラルバ
637	Volcarona	火神蛾	ウルガモス
641	Tornadus	龙卷云	トルネロス
642	Thundurus	雷电云	ボルトロス
645	Landorus	土地云	ランドロス
648	Meloetta	美洛耶塔	メロエッタ
650	Chespin	哈力栗	ハリマロン
651	Quilladin	胖胖哈力	ハリボーグ
652	Chesnaught	布里卡隆	ブリガロン
653	Fennekin	火狐狸	フォッコ
654	Braixen	长尾火狐	テールナー
655	Delphox	妖火红狐	マフォクシー
656	Froakie	呱呱泡蛙	ケロマツ
657	Frogadier	呱头蛙	ゲコガシラ
658	Greninja	甲贺忍蛙	ゲッコウガ
661	Fletchling	小箭雀	ヤヤコマ
662	Fletchinder	火箭雀	ヒノヤコマ
663	Talonflame	烈箭鹰	ファイアロー
664	Scatterbug	粉蝶虫	コフキムシ
665	Spewpa	粉蝶蛹	コフーライ
666	Vivillon	彩粉蝶	ビビヨン
667	Litleo	小狮狮	シシコ
668	Pyroar	火炎狮	カエンジシ
669	Flabébé	花蓓蓓	フラベベ
670	Floette	花叶蒂	フラエッテ
671	Florges	花洁夫人	フラージェス
672	Skiddo	坐骑小羊	メェークル
673	Gogoat	坐骑山羊	ゴーゴート
677	Espurr	妙喵	ニャスパー
678	Meowstic	超能妙喵	ニャオニクス
686	Inkay	好啦鱿	マーイーカ
687	Malamar	乌贼王	カラマネロ
690	Skrelp	垃垃藻	クズモー
691	Dragalge	毒藻龙	ドラミドロ
692	Clauncher	铁臂枪虾	ウデッポウ
693	Clawitzer	钢炮臂虾	ブロスター
700	Sylveon	仙子伊布	ニンフィア
701	Hawlucha	摔角鹰人	ルチャブル
702	Dedenne	咚咚鼠	デデンネ
703	Carbink	小碎钻	メレシー
704	Goomy	黏黏宝	ヌメラ
705	Sliggoo	黏美儿	ヌメイル
706	Goodra	黏美龙	ヌメルゴン
707	Klefki	钥圈儿	クレッフィ
708	Phantump	小木灵	ボクレー
709	Trevenant	朽木妖	オーロット
712	Bergmite	冰宝	カチコール
713	Avalugg	冰岩怪	クレベース
714	Noibat	嗡蝠	オンバット
715	Noivern	音波龙	オンバーン
719	Diancie	蒂安希	ディアンシー
720	Hoopa	胡帕	フーパ
721	Volcanion	波尔凯尼恩	ボルケニオン
722	Rowlet	木木枭	モクロー
723	Dartrix	投羽枭	フクスロー
724	Decidueye	狙射树枭	ジュナイパー
725	Litten	火斑喵	ニャビー
726	Torracat	炎热喵	ニャヒート
727	Incineroar	炽焰咆哮虎	ガオガエン
728	Popplio	球球海狮	アシマリ
729	Brionne	花漾海狮	オシャマリ
730	Primarina	西狮海壬	アシレーヌ
731	Pikipek	小笃儿	ツツケラ
732	Trumbeak	喇叭啄鸟	ケララッパ
733	Toucannon	铳嘴大鸟	ドデカバシ
734	Yungoos	猫鼬少	ヤングース
735	Gumshoos	猫鼬探长	デカグース
736	Grubbin	强颚鸡母虫	アゴジムシ
737	Charjabug	虫电宝	デンヂムシ
738	Vikavolt	锹农炮虫	クワガノン
739	Crabrawler	好胜蟹	マケンカニ
740	Crabominable	好胜毛蟹	ケケンカニ
741	Oricorio	花舞鸟	オドリドリ
742	Cutiefly	萌虻	アブリー
743	Ribombee	蝶结萌虻	アブリボン
744	Rockruff	岩狗狗	イワンコ
745	Lycanroc	鬃岩狼人	ルガルガン
747	Mareanie	好坏星	ヒドイデ
748	Toxapex	超坏星	ドヒドイデ
749	Mudbray	泥驴仔	ドロバンコ
750	Mudsdale	重泥挽马	バンバドロ
751	Dewpider	滴蛛	シズクモ
752	Araquanid	滴蛛霸	オニシズクモ
753	Fomantis	伪螳草	カリキリ
754	Lurantis	兰螳花	ラランテス
757	Salandit	夜盗火蜥	ヤトウモリ
758	Salazzle	焰后蜥	エンニュート
761	Bounsweet	甜竹竹	アマカジ
762	Steenee	甜舞妮	アママイコ
763	Tsareena	甜冷美后	アマージョ
764	Comfey	花疗环环	キュワワー
765	Oranguru	智挥猩	ヤレユータン
766	Passimian	投掷猴	ナゲツケサル
769	Sandygast	沙丘娃	スナバァ
770	Palossand	噬沙堡爷	シロデスナ
774	Minior	小陨星	メテノ
775	Komala	树枕尾熊	ネッコアラ
778	Mimikyu	谜拟丘	ミミッキュ
779	Bruxish	磨牙彩皮鱼	ハギギシリ
782	Jangmo-o	心鳞宝	ジャラコ
783	Hakamo-o	鳞甲龙	ジャランゴ
784	Kommo-o	杖尾鳞甲龙	ジャラランガ
801	Magearna	玛机雅娜	マギアナ
810	Grookey	敲音猴	サルノリ
811	Thwackey	啪咚猴	バチンキー
812	Rillaboom	轰擂金刚猩	ゴリランダー
813	Scorbunny	炎兔儿	ヒバニー
814	Raboot	腾蹴小将	ラビフット
815	Cinderace	闪焰王牌	エースバーン
816	Sobble	泪眼蜥	メッソン
817	Drizzile	变涩蜥	ジメレオン
818	Inteleon	千面避役	インテレオン
819	Skwovet	贪心栗鼠	ホシガリス
820	Greedent	藏饱栗鼠	ヨクバリス
821	Rookidee	稚山雀	ココガラ
822	Corvisquire	蓝鸦	アオガラス
823	Corviknight	钢铠鸦	アーマーガア
833	Chewtle	咬咬龟	カムカメ
834	Drednaw	暴噬龟	カジリガメ
837	Rolycoly	小炭仔	タンドン
838	Carkol	大炭车	トロッゴン
839	Coalossal	巨炭山	セキタンザン
840	Applin	啃果虫	カジッチュ
841	Flapple	苹裹龙	アップリュー
842	Appletun	丰蜜龙	タルップル
843	Silicobra	沙包蛇	スナヘビ
844	Sandaconda	沙螺蟒	サダイジャ
845	Cramorant	古月鸟	ウッウ
846	Arrokuda	刺梭鱼	サシカマス
847	Barraskewda	戽斗尖梭	カマスジョー
848	Toxel	电音婴	エレズン
849	Toxtricity	颤弦蝾螈	ストリンダー
854	Sinistea	来悲茶	ヤバチャ
855	Polteageist	怖思壶	ポットデス
856	Hatenna	迷布莉姆	ミブリム
857	Hattrem	提布莉姆	テブリム
858	Hatterene	布莉姆温	ブリムオン
859	Impidimp	捣蛋小妖	ベロバー
860	Morgrem	诈唬魔	ギモー
861	Grimmsnarl	长毛巨魔	オーロンゲ
863	Milcery	小仙奶	マホミル
868	Alcremie	霜奶仙	マホイップ
869	Perrserker	喵头目	ニャイキング
870	Falinks	列阵兵	タイレーツ
871	Pincurchin	啪嚓海胆	バチンウニ
872	Snom	雪吞虫	ユキハミ
873	Frosmoth	雪绒蛾	モスノウ
874	Stonjourner	巨石丁	イシヘンジン
875	Eiscue	冰砌鹅	コオリッポ
876	Indeedee	爱管侍	イエッサン
877	Morpeko	莫鲁贝可	モルペコ
878	Cufant	铜象	ゾウドウ
879	Copperajah	大王铜象	ダイオウドウ
884	Duraludon	铝钢龙	ジュラルドン
885	Dreepy	多龙梅西亚	ドラメシヤ
886	Drakloak	多龙奇	ドロンチ
887	Dragapult	多龙巴鲁托	ドラパルト
888	Zacian	苍响	ザシアン
889	Zamazenta	藏玛然特	ザマゼンタ
890	Eternatus	无极汰那	ムゲンダイナ
891	Kubfu	熊徒弟	ダクマ
892	Urshifu	武道熊师	ウーラオス
893	Zarude	萨戮德	ザルード
894	Regieleki	雷吉艾勒奇	レジエレキ
895	Regidrago	雷吉铎拉戈	レジドラゴ
896	Glastrier	雪暴马	ブリザポス
897	Spectrier	灵幽马	レイスポス
898	Calyrex	蕾冠王	バドレックス
899	Wyrdeer	诡角鹿	アヤシシ
900	Kleavor	劈斧螳螂	バサギリ
901	Ursaluna	月月熊	ガチグマ
902	Basculegion	幽尾玄鱼	イダイトウ
903	Sneasler	大狃拉	オオニューラ
904	Overqwil	万针鱼	ハリーマン
905	Enamorus	眷恋云	ラブトロス
906	Sprigatito	新叶喵	ニャオハ
907	Floragato	蒂蕾喵	ニャローテ
908	Meowscarada	魔幻假面喵	マスカーニャ
909	Fuecoco	呆火鳄	ホゲータ
910	Crocalor	炙烫鳄	アチゲータ
911	Skeledirge	骨纹巨声鳄	ラウドボーン
912	Quaxly	润水鸭	クワッス
913	Quaxwell	涌跃鸭	ウェルカモ
914	Quaquaval	狂欢浪舞鸭	ウェーニバル
915	Lechonk	爱吃豚	グルトン
916	Oinkologne	飘香豚	パフュートン
917	Tarountula	团珠蛛	タマンチュラ
918	Spidops	操陷蛛	ワナイダー
919	Nymble	豆蟋蟀	マメバッタ
920	Lokix	烈腿蝗	エクスレッグ
921	Pawmi	布拨	パモ
922	Pawmo	布土拨	パモット
923	Pawmot	巴布土拨	パーモット
924	Tandemaus	一对鼠	ワッカネズミ
925	Maushold	一家鼠	イッカネズミ
926	Fidough	狗仔包	パピモッチ
927	Dachsbun	麻花犬	バウッツェル
928	Smoliv	迷你芙	ミニーブ
929	Dolliv	奥利纽	オリーニョ
930	Arboliva	奥利瓦	オリーヴァ
931	Squawkabilly	怒鹦哥	イキリンコ
932	Nacli	盐石宝	コジオ
933	Naclstack	盐石垒	ジオヅム
934	Garganacl	盐石巨灵	キヨジオーン
935	Charcadet	炭小侍	カルボウ
936	Armarouge	红莲铠骑	グレンアルマ
937	Ceruledge	苍炎刃鬼	ソウブレイズ
938	Tadbulb	光蚪仔	ズピカ
939	Bellibolt	电肚蛙	ハラバリー
940	Wattrel	电海燕	カイデン
941	Kilowattrel	大电海燕	タイカイデン
942	Maschiff	偶叫獒	オラチフ
943	Mabosstiff	獒教父	マフィティフ
944	Shroodle	滋汁鼹	シルシュルー
945	Grafaiai	涂标客	タギングル
946	Bramblin	纳噬草	アノクサ
947	Brambleghast	怖纳噬草	アノホラグサ
948	Toedscool	原野水母	ノノクラゲ
949	Toedscruel	陆地水母	リククラゲ
950	Klawf	毛崖蟹	ガケガニ
951	Capsakid	热辣娃	カプサイジ
952	Scovillain	狠辣椒	スコヴィラン
953	Rellor	虫滚泥	シガロコ
954	Rabsca	虫甲圣	ベラカス
955	Flittle	飘飘雏	ヒラヒナ
956	Espathra	超能艳鸵	クエスパトラ
957	Tinkatink	小锻匠	カヌチャン
958	Tinkatuff	巧锻匠	ナカヌチャン
959	Tinkaton	巨锻匠	デカヌチャン
960	Wiglett	海地鼠	ウミディグダ
961	Wugtrio	三海地鼠	ウミトリオ
962	Bombirdier	下石鸟	オトシドリ
963	Finizen	波普海豚	ナミイカル
964	Palafin	海豚侠	イルカマン
965	Varoom	噗隆隆	ブロロン
966	Revavroom	普隆隆姆	ブロロローム
967	Cyclizar	摩托蜥	モトトカゲ
968	Orthworm	拖拖蚓	ミミズズ
969	Glimmet	晶光芽	キラーメ
970	Glimmora	晶光花	キラフロル
971	Greavard	墓仔狗	ボチ
972	Houndstone	墓扬犬	ハカドッグ
973	Flamigo	缠红鹤	カラミンゴ
