0725	手机洛托姆	スマホロトム	Rotom Phone
0884	招式学习器１２０		TM120
0885	招式学习器１２１		TM121
0886	招式学习器１２２		TM122
0887	招式学习器１２３		TM123
0888	招式学习器１２４		TM124
0889	招式学习器１２５		TM125
088A	招式学习器１２６		TM126
088B	招式学习器１２７		TM127
088C	招式学习器１２８		TM128
088D	招式学习器１２９		TM129
088E	招式学习器１３０		TM130
088F	招式学习器１３１		TM131
0890	招式学习器１３２		TM132
0891	招式学习器１３３		TM133
0892	招式学习器１３４		TM134
0893	招式学习器１３５		TM135
0894	招式学习器１３６		TM136
0895	招式学习器１３７		TM137
0896	招式学习器１３８		TM138
0897	招式学习器１３９		TM139
0898	招式学习器１４０		TM140
0899	招式学习器１４１		TM141
089A	招式学习器１４２		TM142
089B	招式学习器１４３		TM143
089C	招式学习器１４４		TM144
089D	招式学习器１４５		TM145
089E	招式学习器１４６		TM146
089F	招式学习器１４７		TM147
08A0	招式学习器１４８		TM148
08A1	招式学习器１４９		TM149
08A2	招式学习器１５０		TM150
08A3	招式学习器１５１		TM151
08A4	招式学习器１５２		TM152
08A5	招式学习器１５３		TM153
08A6	招式学习器１５４		TM154
08A7	招式学习器１５５		TM155
08A8	招式学习器１５６		TM156
08A9	招式学习器１５７		TM157
08AA	招式学习器１５８		TM158
08AB	招式学习器１５９		TM159
08AC	招式学习器１６０		TM160
08AD	招式学习器１６１		TM161
08AE	招式学习器１６２		TM162
08AF	招式学习器１６３		TM163
08B0	招式学习器１６４		TM164
08B1	招式学习器１６５		TM165
08B2	招式学习器１６６		TM166
08B3	招式学习器１６７		TM167
08B4	招式学习器１６８		TM168
08B5	招式学习器１６９		TM169
08B6	招式学习器１７０		TM170
08B7	招式学习器１７１		TM171
08B8			
08B9			
08BA			
08BB			
08BC			
08BD			
08BE			
08BF			
08C0			
08C1			
08C2			
08C3			
08C4			
08C5			
08C6			
08C7			
08C8			
08C9			
08CA			
08CB			
08CC			
08CD			
08CE			
08CF			
08D0			
08D1			
08D2			
08D3			
08D4			
08D5			
08D6			
08D7			
08D8			
08D9			
08DA			
08DB			
08DC			
08DD			
08DE			
08DF			
08E0			
08E1			
08E2			
08E3			
08E4			
08E5			
08E6			
08E7			
08E8			
08E9			
08EA			
08EB			
08EC			
08ED			
08EE			
08EF			
08F0			
08F1			
08F2			
08F3			
08F4			
08F5			
08F6			
08F7			
08F8			
08F9			
08FA			
08FB			
08FC			
08FD			
08FE			
08FF			
0900			
0901			
0902			
0903			
0904			
0905			
0906			
0907	野餐组合		Picnic Set
0908			
0909	校园水壶		Academy Bottle
090A	校园水壶		Academy Bottle
090B	圆点水壶		Polka-Dot Bottle
090C	条纹水壶		Striped Bottle
090D	菱纹水壶		Diamond Bottle
090E	校园水杯		Academy Cup
090F	校园水杯		Academy Cup
0910	直条纹水杯		Striped Cup
0911	圆点水杯		Polka-Dot Cup
0912	花朵水杯		Flower Pattern Cup
0913	校园桌巾		Academy Tablecloth
0914	校园桌巾		Academy Tablecloth
0915	幻彩桌巾		Whimsical Tablecloth
0916	大自然桌巾		Leafy Tablecloth
0917	鬼祟桌巾		Spooky Tablecloth
0918			
0919	校园球		Academy Ball
091A	校园球		Academy Ball
091B	玛力露球		Marill Ball
091C	毛线球		Yarn Ball
091D	电竞球		Cyber Ball
091E	金色三明治签		Gold Pick
091F	银色三明治签		Silver Pick
0920	红旗子三明治签		Red-Flag Pick
0921	蓝旗子三明治签		Blue-Flag Pick
0922	皮卡丘三明治签		Pika-Pika Pick
0923	眨眼皮卡丘三明治签		Winking Pika Pick
0924	伊布三明治签		Vee-Vee Pick
0925	笑脸伊布三明治签		Smiling Vee Pick
0926	蓝珠珠三明治签		Blue Poké Ball Pick
0927			
0928	庆祝之铠		Auspicious Armor
0929	头领凭证		Leader’s Crest
092A			
092B			
092C	粉红水壶		Pink Bottle
092D	蓝色水壶		Blue Bottle
092E	黄色水壶		Yellow Bottle
092F	红纹不锈钢水壶		Steel Bottle (R)
0930	黄纹不锈钢水壶		Steel Bottle (Y)
0931	蓝纹不锈钢水壶		Steel Bottle (B)
0932	银钛水壶		Silver Bottle
0933	横条纹水杯		Barred Cup
0934	菱纹水杯		Diamond Pattern Cup
0935	火焰水杯		Fire Pattern Cup
0936	粉红水杯		Pink Cup
0937	蓝色水杯		Blue Cup
0938	黄色水杯		Yellow Cup
0939	皮卡丘水杯		Pikachu Cup
093A	伊布水杯		Eevee Cup
093B	呆呆兽水杯		Slowpoke Cup
093C	银钛水杯		Silver Cup
093D	瑜珈球		Exercise Ball
093E	黄色格子桌巾		Plaid Tablecloth (Y)
093F	蓝色格子桌巾		Plaid Tablecloth (B)
0940	红色格子桌巾		Plaid Tablecloth (R)
0941	黑白草丛桌巾		B&W Grass Tablecloth
0942	对决桌巾		Battle Tablecloth
0943	怪兽桌巾		Monstrous Tablecloth
0944	条纹桌巾		Striped Tablecloth
0945	菱纹桌巾		Diamond Tablecloth
0946	圆点桌巾		Polka-Dot Tablecloth
0947	紫色桌巾		Lilac Tablecloth
0948	浅绿桌巾		Mint Tablecloth
0949	米色桌巾		Peach Tablecloth
094A	黄色桌巾		Yellow Tablecloth
094B	蓝色桌巾		Blue Tablecloth
094C	粉红桌巾		Pink Tablecloth
094D	金钛水壶		Gold Bottle
094E	铜钛水壶		Bronze Bottle
094F	金钛水杯		Gold Cup
0950	铜钛水杯		Bronze Cup
0951	绿珠珠三明治签		Green Poké Ball Pick
0952	红珠珠三明治签		Red Poké Ball Pick
0953	烟花祝庆三明治签		Party Sparkler Pick
0954	勇者之剑三明治签		Heroic Sword Pick
0955	魔法星星三明治签		Magical Star Pick
0956	魔法甜心三明治签		Magical Heart Pick
0957	阳伞三明治签		Parasol Pick
0958	晴空花三明治签		Blue-Sky Flower Pick
0959	夕阳花三明治签		Sunset Flower Pick
095A	朝霞花三明治签		Sunrise Flower Pick
095B	蓝色盘子		Blue Dish
095C	绿色盘子		Green Dish
095D	橘色盘子		Orange Dish
095E	红色盘子		Red Dish
095F	白色盘子		White Dish
0960	黄色盘子		Yellow Dish
