ID	HEX	EN_NAME	CN_NAME	JP_NAME
83	0053	Fire Spin	火焰旋涡	ほのおのうず
84	0054	Thunder Shock	电击	でんきショック
85	0055	Thunderbolt	十万伏特	１０まんボルト
86	0056	Thunder Wave	电磁波	でんじは
87	0057	Thunder	打雷	かみなり
88	0058	Rock Throw	落石	いわおとし
89	0059	Earthquake	地震	じしん
90	005A	Fissure	地裂	じわれ
91	005B	Dig	挖洞	あなをほる
92	005C	Toxic	剧毒	どくどく
93	005D	Confusion	念力	ねんりき
94	005E	Psychic	精神强念	サイコキネシス
95	005F	Hypnosis	催眠术	さいみんじゅつ
96	0060	Meditate	瑜伽姿势	ヨガのポーズ
97	0061	Agility	高速移动	こうそくいどう
98	0062	Quick Attack	电光一闪	でんこうせっか
99	0063	Rage	愤怒	いかり
100	0064	Teleport	瞬间移动	テレポート
101	0065	Night Shade	黑夜魔影	ナイトヘッド
102	0066	Mimic	模仿	ものまね
103	0067	Screech	刺耳声	いやなおと
104	0068	Double Team	影子分身	かげぶんしん
105	0069	Recover	自我再生	じこさいせい
106	006A	Harden	变硬	かたくなる
107	006B	Minimize	变小	ちいさくなる
108	006C	Smokescreen	烟幕	えんまく
109	006D	Confuse Ray	奇异之光	あやしいひかり
110	006E	Withdraw	缩入壳中	からにこもる
111	006F	Defense Curl	变圆	まるくなる
112	0070	Barrier	屏障	バリアー
113	0071	Light Screen	光墙	ひかりのかべ
114	0072	Haze	黑雾	くろいきり
115	0073	Reflect	反射壁	リフレクター
116	0074	Focus Energy	聚气	きあいだめ
117	0075	Bide	忍耐	がまん
118	0076	Metronome	挥指	ゆびをふる
119	0077	Mirror Move	鹦鹉学舌	オウムがえし
120	0078	Self-Destruct	自爆	じばく
121	0079	Egg Bomb	炸蛋	タマゴばくだん
122	007A	Lick	舌舔	したでなめる
123	007B	Smog	浊雾	スモッグ
124	007C	Sludge	污泥攻击	ヘドロこうげき
125	007D	Bone Club	骨棒	ホネこんぼう
126	007E	Fire Blast	大字爆炎	だいもんじ
127	007F	Waterfall	攀瀑	たきのぼり
128	0080	Clamp	贝壳夹击	からではさむ
129	0081	Swift	高速星星	スピードスター
130	0082	Skull Bash	火箭头锤	ロケットずつき
131	0083	Spike Cannon	尖刺加农炮	とげキャノン
132	0084	Constrict	缠绕	からみつく
133	0085	Amnesia	瞬间失忆	ドわすれ
134	0086	Kinesis	折弯汤匙	スプーンまげ
135	0087	Soft-Boiled	生蛋	タマゴうみ
136	0088	High Jump Kick	飞膝踢	とびひざげり
137	0089	Glare	大蛇瞪眼	へびにらみ
138	008A	Dream Eater	食梦	ゆめくい
139	008B	Poison Gas	毒瓦斯	どくガス
140	008C	Barrage	投球	たまなげ
141	008D	Leech Life	吸血	きゅうけつ
142	008E	Lovely Kiss	恶魔之吻	あくまのキッス
143	008F	Sky Attack	神鸟猛击	ゴッドバード
144	0090	Transform	变身	へんしん
145	0091	Bubble	泡沫	あわ
146	0092	Dizzy Punch	迷昏拳	ピヨピヨパンチ
147	0093	Spore	蘑菇孢子	キノコのほうし
148	0094	Flash	闪光	フラッシュ
149	0095	Psywave	精神波	サイコウェーブ
150	0096	Splash	跃起	はねる
151	0097	Acid Armor	溶化	とける
152	0098	Crabhammer	蟹钳锤	クラブハンマー
153	0099	Explosion	大爆炸	だいばくはつ
154	009A	Fury Swipes	乱抓	みだれひっかき
155	009B	Bonemerang	骨头回力镖	ホネブーメラン
156	009C	Rest	睡觉	ねむる
157	009D	Rock Slide	岩崩	いわなだれ
158	009E	Hyper Fang	必杀门牙	ひっさつまえば
159	009F	Sharpen	棱角化	かくばる
160	00A0	Conversion	纹理	テクスチャー
161	00A1	Tri Attack	三重攻击	トライアタック
162	00A2	Super Fang	愤怒门牙	いかりのまえば
163	00A3	Slash	劈开	きりさく
164	00A4	Substitute	替身	みがわり
165	00A5	Struggle	挣扎	わるあがき
166	00A6	Sketch	写生	スケッチ
167	00A7	Triple Kick	三连踢	トリプルキック
168	00A8	Thief	小偷	どろぼう
169	00A9	Spider Web	蛛网	クモのす
170	00AA	Mind Reader	心之眼	こころのめ
171	00AB	Nightmare	恶梦	あくむ
172	00AC	Flame Wheel	火焰轮	かえんぐるま
173	00AD	Snore	打鼾	いびき
174	00AE	Curse	诅咒	のろい
175	00AF	Flail	抓狂	じたばた
176	00B0	Conversion 2	纹理２	テクスチャー２
177	00B1	Aeroblast	气旋攻击	エアロブラスト
178	00B2	Cotton Spore	棉孢子	わたほうし
179	00B3	Reversal	起死回生	きしかいせい
180	00B4	Spite	怨恨	うらみ
181	00B5	Powder Snow	细雪	こなゆき
182	00B6	Protect	守住	まもる
183	00B7	Mach Punch	音速拳	マッハパンチ
184	00B8	Scary Face	鬼面	こわいかお
185	00B9	Feint Attack	出奇一击	だましうち
186	00BA	Sweet Kiss	天使之吻	てんしのキッス
187	00BB	Belly Drum	腹鼓	はらだいこ
188	00BC	Sludge Bomb	污泥炸弹	ヘドロばくだん
189	00BD	Mud-Slap	掷泥	どろかけ
190	00BE	Octazooka	章鱼桶炮	オクタンほう
191	00BF	Spikes	撒菱	まきびし
192	00C0	Zap Cannon	电磁炮	でんじほう
193	00C1	Foresight	识破	みやぶる
194	00C2	Destiny Bond	同命	みちづれ
195	00C3	Perish Song	灭亡之歌	ほろびのうた
196	00C4	Icy Wind	冰冻之风	こごえるかぜ
197	00C5	Detect	看穿	みきり
198	00C6	Bone Rush	骨棒乱打	ボーンラッシュ
199	00C7	Lock-On	锁定	ロックオン
200	00C8	Outrage	逆鳞	げきりん
201	00C9	Sandstorm	沙暴	すなあらし
202	00CA	Giga Drain	终极吸取	ギガドレイン
203	00CB	Endure	挺住	こらえる
204	00CC	Charm	撒娇	あまえる
205	00CD	Rollout	滚动	ころがる
206	00CE	False Swipe	点到为止	みねうち
207	00CF	Swagger	虚张声势	いばる
208	00D0	Milk Drink	喝牛奶	ミルクのみ
209	00D1	Spark	电光	スパーク
210	00D2	Fury Cutter	连斩	れんぞくぎり
211	00D3	Steel Wing	钢翼	はがねのつばさ
212	00D4	Mean Look	黑色目光	くろいまなざし
213	00D5	Attract	迷人	メロメロ
214	00D6	Sleep Talk	梦话	ねごと
215	00D7	Heal Bell	治愈铃声	いやしのすず
216	00D8	Return	报恩	おんがえし
217	00D9	Present	礼物	プレゼント
218	00DA	Frustration	迁怒	やつあたり
219	00DB	Safeguard	神秘守护	しんぴのまもり
220	00DC	Pain Split	分担痛楚	いたみわけ
221	00DD	Sacred Fire	神圣之火	せいなるほのお
222	00DE	Magnitude	震级	マグニチュード
223	00DF	Dynamic Punch	爆裂拳	ばくれつパンチ
224	00E0	Megahorn	超级角击	メガホーン
225	00E1	Dragon Breath	龙息	りゅうのいぶき
226	00E2	Baton Pass	接棒	バトンタッチ
227	00E3	Encore	再来一次	アンコール
228	00E4	Pursuit	追打	おいうち
229	00E5	Rapid Spin	高速旋转	こうそくスピン
230	00E6	Sweet Scent	甜甜香气	あまいかおり
231	00E7	Iron Tail	铁尾	アイアンテール
232	00E8	Metal Claw	金属爪	メタルクロー
233	00E9	Vital Throw	借力摔	あてみなげ
234	00EA	Morning Sun	晨光	あさのひざし
235	00EB	Synthesis	光合作用	こうごうせい
236	00EC	Moonlight	月光	つきのひかり
237	00ED	Hidden Power	觉醒力量	めざめるパワー
238	00EE	Cross Chop	十字劈	クロスチョップ
239	00EF	Twister	龙卷风	たつまき
240	00F0	Rain Dance	求雨	あまごい
241	00F1	Sunny Day	大晴天	にほんばれ
242	00F2	Crunch	咬碎	かみくだく
243	00F3	Mirror Coat	镜面反射	ミラーコート
244	00F4	Psych Up	自我暗示	じこあんじ
245	00F5	Extreme Speed	神速	しんそく
246	00F6	Ancient Power	原始之力	げんしのちから
247	00F7	Shadow Ball	暗影球	シャドーボール
248	00F8	Future Sight	预知未来	みらいよち
249	00F9	Rock Smash	碎岩	いわくだき
250	00FA	Whirlpool	潮旋	うずしお
251	00FB	Beat Up	围攻	ふくろだたき
252	00FC	Fake Out	击掌奇袭	ねこだまし
253	00FD	Uproar	吵闹	さわぐ
254	00FE	Stockpile	蓄力	たくわえる
255	00FF	Spit Up	喷出	はきだす
256	0100	Swallow	吞下	のみこむ
257	0101	Heat Wave	热风	ねっぷう
258	0102	Hail	冰雹	あられ
259	0103	Torment	无理取闹	いちゃもん
260	0104	Flatter	吹捧	おだてる
261	0105	Will-O-Wisp	鬼火	おにび
262	0106	Memento	临别礼物	おきみやげ
263	0107	Facade	硬撑	からげんき
264	0108	Focus Punch	真气拳	きあいパンチ
265	0109	Smelling Salts	清醒	きつけ
266	010A	Follow Me	看我嘛	このゆびとまれ
267	010B	Nature Power	自然之力	しぜんのちから
268	010C	Charge	充电	じゅうでん
269	010D	Taunt	挑衅	ちょうはつ
270	010E	Helping Hand	帮助	てだすけ
271	010F	Trick	戏法	トリック
272	0110	Role Play	扮演	なりきり
273	0111	Wish	祈愿	ねがいごと
274	0112	Assist	借助	ねこのて
275	0113	Ingrain	扎根	ねをはる
276	0114	Superpower	蛮力	ばかぢから
277	0115	Magic Coat	魔法反射	マジックコート
278	0116	Recycle	回收利用	リサイクル
279	0117	Revenge	报复	リベンジ
280	0118	Brick Break	劈瓦	かわらわり
281	0119	Yawn	哈欠	あくび
282	011A	Knock Off	拍落	はたきおとす
283	011B	Endeavor	蛮干	がむしゃら
284	011C	Eruption	喷火	ふんか
285	011D	Skill Swap	特性互换	スキルスワップ
286	011E	Imprison	封印	ふういん
287	011F	Refresh	焕然一新	リフレッシュ
288	0120	Grudge	怨念	おんねん
289	0121	Snatch	抢夺	よこどり
290	0122	Secret Power	秘密之力	ひみつのちから
291	0123	Dive	潜水	ダイビング
292	0124	Arm Thrust	猛推	つっぱり
293	0125	Camouflage	保护色	ほごしょく
294	0126	Tail Glow	萤火	ほたるび
295	0127	Luster Purge	洁净光芒	ラスターパージ
296	0128	Mist Ball	薄雾球	ミストボール
297	0129	Feather Dance	羽毛舞	フェザーダンス
298	012A	Teeter Dance	摇晃舞	フラフラダンス
299	012B	Blaze Kick	火焰踢	ブレイズキック
300	012C	Mud Sport	玩泥巴	どろあそび
301	012D	Ice Ball	冰球	アイスボール
302	012E	Needle Arm	尖刺臂	ニードルアーム
303	012F	Slack Off	偷懒	なまける
304	0130	Hyper Voice	巨声	ハイパーボイス
305	0131	Poison Fang	剧毒牙	どくどくのキバ
306	0132	Crush Claw	撕裂爪	ブレイククロー
307	0133	Blast Burn	爆炸烈焰	ブラストバーン
308	0134	Hydro Cannon	加农水炮	ハイドロカノン
309	0135	Meteor Mash	彗星拳	コメットパンチ
310	0136	Astonish	惊吓	おどろかす
311	0137	Weather Ball	气象球	ウェザーボール
312	0138	Aromatherapy	芳香治疗	アロマセラピー
313	0139	Fake Tears	假哭	うそなき
314	013A	Air Cutter	空气利刃	エアカッター
315	013B	Overheat	过热	オーバーヒート
316	013C	Odor Sleuth	气味侦测	かぎわける
317	013D	Rock Tomb	岩石封锁	がんせきふうじ
318	013E	Silver Wind	银色旋风	ぎんいろのかぜ
319	013F	Metal Sound	金属音	きんぞくおん
320	0140	Grass Whistle	草笛	くさぶえ
321	0141	Tickle	挠痒	くすぐる
322	0142	Cosmic Power	宇宙力量	コスモパワー
323	0143	Water Spout	喷水	しおふき
324	0144	Signal Beam	信号光束	シグナルビーム
325	0145	Shadow Punch	暗影拳	シャドーパンチ
326	0146	Extrasensory	神通力	じんつうりき
327	0147	Sky Uppercut	冲天拳	スカイアッパー
328	0148	Sand Tomb	流沙地狱	すなじごく
329	0149	Sheer Cold	绝对零度	ぜったいれいど
330	014A	Muddy Water	浊流	だくりゅう
331	014B	Bullet Seed	种子机关枪	タネマシンガン
332	014C	Aerial Ace	燕返	つばめがえし
333	014D	Icicle Spear	冰锥	つららばり
334	014E	Iron Defense	铁壁	てっぺき
335	014F	Block	挡路	とおせんぼう
336	0150	Howl	长嚎	とおぼえ
337	0151	Dragon Claw	龙爪	ドラゴンクロー
338	0152	Frenzy Plant	疯狂植物	ハードプラント
339	0153	Bulk Up	健美	ビルドアップ
340	0154	Bounce	弹跳	とびはねる
341	0155	Mud Shot	泥巴射击	マッドショット
342	0156	Poison Tail	毒尾	ポイズンテール
343	0157	Covet	渴望	ほしがる
344	0158	Volt Tackle	伏特攻击	ボルテッカー
345	0159	Magical Leaf	魔法叶	マジカルリーフ
346	015A	Water Sport	玩水	みずあそび
347	015B	Calm Mind	冥想	めいそう
348	015C	Leaf Blade	叶刃	リーフブレード
349	015D	Dragon Dance	龙之舞	りゅうのまい
350	015E	Rock Blast	岩石爆击	ロックブラスト
351	015F	Shock Wave	电击波	でんげきは
352	0160	Water Pulse	水之波动	みずのはどう
353	0161	Doom Desire	破灭之愿	はめつのねがい
354	0162	Psycho Boost	精神突进	サイコブースト
355	0163	Roost	羽栖	はねやすめ
356	0164	Gravity	重力	じゅうりょく
357	0165	Miracle Eye	奇迹之眼	ミラクルアイ
358	0166	Wake-Up Slap	唤醒巴掌	めざましビンタ
359	0167	Hammer Arm	臂锤	アームハンマー
360	0168	Gyro Ball	陀螺球	ジャイロボール
361	0169	Healing Wish	治愈之愿	いやしのねがい
362	016A	Brine	盐水	しおみず
363	016B	Natural Gift	自然之恩	しぜんのめぐみ
364	016C	Feint	佯攻	フェイント
365	016D	Pluck	啄食	ついばむ
366	016E	Tailwind	顺风	おいかぜ
367	016F	Acupressure	点穴	つぼをつく
368	0170	Metal Burst	金属爆炸	メタルバースト
369	0171	U-turn	急速折返	とんぼがえり
370	0172	Close Combat	近身战	インファイト
371	0173	Payback	以牙还牙	しっぺがえし
372	0174	Assurance	恶意追击	ダメおし
373	0175	Embargo	查封	さしおさえ
374	0176	Fling	投掷	なげつける
375	0177	Psycho Shift	精神转移	サイコシフト
376	0178	Trump Card	王牌	きりふだ
377	0179	Heal Block	回复封锁	かいふくふうじ
378	017A	Wring Out	绞紧	しぼりとる
379	017B	Power Trick	力量戏法	パワートリック
380	017C	Gastro Acid	胃液	いえき
381	017D	Lucky Chant	幸运咒语	おまじない
382	017E	Me First	抢先一步	さきどり
383	017F	Copycat	仿效	まねっこ
384	0180	Power Swap	力量互换	パワースワップ
385	0181	Guard Swap	防守互换	ガードスワップ
386	0182	Punishment	惩罚	おしおき
387	0183	Last Resort	珍藏	とっておき
388	0184	Worry Seed	烦恼种子	なやみのタネ
389	0185	Sucker Punch	突袭	ふいうち
390	0186	Toxic Spikes	毒菱	どくびし
391	0187	Heart Swap	心灵互换	ハートスワップ
392	0188	Aqua Ring	水流环	アクアリング
393	0189	Magnet Rise	电磁飘浮	でんじふゆう
394	018A	Flare Blitz	闪焰冲锋	フレアドライブ
395	018B	Force Palm	发劲	はっけい
396	018C	Aura Sphere	波导弹	はどうだん
397	018D	Rock Polish	岩石打磨	ロックカット
398	018E	Poison Jab	毒击	どくづき
399	018F	Dark Pulse	恶之波动	あくのはどう
400	0190	Night Slash	暗袭要害	つじぎり
401	0191	Aqua Tail	水流尾	アクアテール
402	0192	Seed Bomb	种子炸弹	タネばくだん
403	0193	Air Slash	空气斩	エアスラッシュ
404	0194	X-Scissor	十字剪	シザークロス
405	0195	Bug Buzz	虫鸣	むしのさざめき
406	0196	Dragon Pulse	龙之波动	りゅうのはどう
407	0197	Dragon Rush	龙之俯冲	ドラゴンダイブ
408	0198	Power Gem	力量宝石	パワージェム
409	0199	Drain Punch	吸取拳	ドレインパンチ
410	019A	Vacuum Wave	真空波	しんくうは
411	019B	Focus Blast	真气弹	きあいだま
412	019C	Energy Ball	能量球	エナジーボール
413	019D	Brave Bird	勇鸟猛攻	ブレイブバード
414	019E	Earth Power	大地之力	だいちのちから
415	019F	Switcheroo	掉包	すりかえ
416	01A0	Giga Impact	终极冲击	ギガインパクト
417	01A1	Nasty Plot	诡计	わるだくみ
418	01A2	Bullet Punch	子弹拳	バレットパンチ
419	01A3	Avalanche	雪崩	ゆきなだれ
420	01A4	Ice Shard	冰砾	こおりのつぶて
421	01A5	Shadow Claw	暗影爪	シャドークロー
422	01A6	Thunder Fang	雷电牙	かみなりのキバ
423	01A7	Ice Fang	冰冻牙	こおりのキバ
424	01A8	Fire Fang	火焰牙	ほのおのキバ
425	01A9	Shadow Sneak	影子偷袭	かげうち
426	01AA	Mud Bomb	泥巴炸弹	どろばくだん
427	01AB	Psycho Cut	精神利刃	サイコカッター
428	01AC	Zen Headbutt	意念头锤	しねんのずつき
429	01AD	Mirror Shot	镜光射击	ミラーショット
430	01AE	Flash Cannon	加农光炮	ラスターカノン
431	01AF	Rock Climb	攀岩	ロッククライム
432	01B0	Defog	清除浓雾	きりばらい
433	01B1	Trick Room	戏法空间	トリックルーム
434	01B2	Draco Meteor	流星群	りゅうせいぐん
435	01B3	Discharge	放电	ほうでん
436	01B4	Lava Plume	喷烟	ふんえん
437	01B5	Leaf Storm	飞叶风暴	リーフストーム
438	01B6	Power Whip	强力鞭打	パワーウィップ
439	01B7	Rock Wrecker	岩石炮	がんせきほう
440	01B8	Cross Poison	十字毒刃	クロスポイズン
441	01B9	Gunk Shot	垃圾射击	ダストシュート
442	01BA	Iron Head	铁头	アイアンヘッド
443	01BB	Magnet Bomb	磁铁炸弹	マグネットボム
444	01BC	Stone Edge	尖石攻击	ストーンエッジ
445	01BD	Captivate	诱惑	ゆうわく
446	01BE	Stealth Rock	隐形岩	ステルスロック
447	01BF	Grass Knot	打草结	くさむすび
448	01C0	Chatter	喋喋不休	おしゃべり
449	01C1	Judgment	制裁光砾	さばきのつぶて
450	01C2	Bug Bite	虫咬	むしくい
451	01C3	Charge Beam	充电光束	チャージビーム
452	01C4	Wood Hammer	木槌	ウッドハンマー
453	01C5	Aqua Jet	水流喷射	アクアジェット
454	01C6	Attack Order	攻击指令	こうげきしれい
455	01C7	Defend Order	防御指令	ぼうぎょしれい
456	01C8	Heal Order	回复指令	かいふくしれい
457	01C9	Head Smash	双刃头锤	もろはのずつき
458	01CA	Double Hit	二连击	ダブルアタック
459	01CB	Roar of Time	时光咆哮	ときのほうこう
460	01CC	Spacial Rend	亚空裂斩	あくうせつだん
461	01CD	Lunar Dance	新月舞	みかづきのまい
462	01CE	Crush Grip	捏碎	にぎりつぶす
463	01CF	Magma Storm	熔岩风暴	マグマストーム
464	01D0	Dark Void	暗黑洞	ダークホール
465	01D1	Seed Flare	种子闪光	シードフレア
466	01D2	Ominous Wind	奇异之风	あやしいかぜ
467	01D3	Shadow Force	暗影潜袭	シャドーダイブ
468	01D4	Hone Claws	磨爪	つめとぎ
469	01D5	Wide Guard	广域防守	ワイドガード
470	01D6	Guard Split	防守平分	ガードシェア
471	01D7	Power Split	力量平分	パワーシェア
472	01D8	Wonder Room	奇妙空间	ワンダールーム
473	01D9	Psyshock	精神冲击	サイコショック
474	01DA	Venoshock	毒液冲击	ベノムショック
475	01DB	Autotomize	身体轻量化	ボディパージ
476	01DC	Rage Powder	愤怒粉	いかりのこな
477	01DD	Telekinesis	意念移物	テレキネシス
478	01DE	Magic Room	魔法空间	マジックルーム
479	01DF	Smack Down	击落	うちおとす
480	01E0	Storm Throw	山岚摔	やまあらし
481	01E1	Flame Burst	烈焰溅射	はじけるほのお
482	01E2	Sludge Wave	污泥波	ヘドロウェーブ
483	01E3	Quiver Dance	蝶舞	ちょうのまい
484	01E4	Heavy Slam	重磅冲撞	ヘビーボンバー
485	01E5	Synchronoise	同步干扰	シンクロノイズ
486	01E6	Electro Ball	电球	エレキボール
487	01E7	Soak	浸水	みずびたし
488	01E8	Flame Charge	蓄能焰袭	ニトロチャージ
489	01E9	Coil	盘蜷	とぐろをまく
490	01EA	Low Sweep	下盘踢	ローキック
491	01EB	Acid Spray	酸液炸弹	アシッドボム
492	01EC	Foul Play	欺诈	イカサマ
493	01ED	Simple Beam	单纯光束	シンプルビーム
494	01EE	Entrainment	找伙伴	なかまづくり
495	01EF	After You	您先请	おさきにどうぞ
496	01F0	Round	轮唱	りんしょう
497	01F1	Echoed Voice	回声	エコーボイス
498	01F2	Chip Away	逐步击破	なしくずし
499	01F3	Clear Smog	清除之烟	クリアスモッグ
500	01F4	Stored Power	辅助力量	アシストパワー
501	01F5	Quick Guard	快速防守	ファストガード
502	01F6	Ally Switch	交换场地	サイドチェンジ
503	01F7	Scald	热水	ねっとう
504	01F8	Shell Smash	破壳	からをやぶる
505	01F9	Heal Pulse	治愈波动	いやしのはどう
506	01FA	Hex	祸不单行	たたりめ
507	01FB	Sky Drop	自由落体	フリーフォール
508	01FC	Shift Gear	换挡	ギアチェンジ
509	01FD	Circle Throw	巴投	ともえなげ
510	01FE	Incinerate	烧尽	やきつくす
511	01FF	Quash	延后	さきおくり
512	0200	Acrobatics	杂技	アクロバット
513	0201	Reflect Type	镜面属性	ミラータイプ
514	0202	Retaliate	报仇	かたきうち
515	0203	Final Gambit	搏命	いのちがけ
516	0204	Bestow	传递礼物	ギフトパス
517	0205	Inferno	炼狱	れんごく
518	0206	Water Pledge	水之誓约	みずのちかい
519	0207	Fire Pledge	火之誓约	ほのおのちかい
520	0208	Grass Pledge	草之誓约	くさのちかい
521	0209	Volt Switch	伏特替换	ボルトチェンジ
522	020A	Struggle Bug	虫之抵抗	むしのていこう
523	020B	Bulldoze	重踏	じならし
524	020C	Frost Breath	冰息	こおりのいぶき
525	020D	Dragon Tail	龙尾	ドラゴンテール
526	020E	Work Up	自我激励	ふるいたてる
527	020F	Electroweb	电网	エレキネット
528	0210	Wild Charge	疯狂伏特	ワイルドボルト
529	0211	Drill Run	直冲钻	ドリルライナー
530	0212	Dual Chop	二连劈	ダブルチョップ
531	0213	Heart Stamp	爱心印章	ハートスタンプ
532	0214	Horn Leech	木角	ウッドホーン
533	0215	Sacred Sword	圣剑	せいなるつるぎ
534	0216	Razor Shell	贝壳刃	シェルブレード
535	0217	Heat Crash	高温重压	ヒートスタンプ
536	0218	Leaf Tornado	青草搅拌器	グラスミキサー
537	0219	Steamroller	疯狂滚压	ハードローラー
538	021A	Cotton Guard	棉花防守	コットンガード
539	021B	Night Daze	暗黑爆破	ナイトバースト
540	021C	Psystrike	精神击破	サイコブレイク
541	021D	Tail Slap	扫尾拍打	スイープビンタ
542	021E	Hurricane	暴风	ぼうふう
543	021F	Head Charge	爆炸头突击	アフロブレイク
544	0220	Gear Grind	齿轮飞盘	ギアソーサー
545	0221	Searing Shot	火焰弹	かえんだん
546	0222	Techno Blast	高科技光炮	テクノバスター
547	0223	Relic Song	古老之歌	いにしえのうた
548	0224	Secret Sword	神秘之剑	しんぴのつるぎ
549	0225	Glaciate	冰封世界	こごえるせかい
550	0226	Bolt Strike	雷击	らいげき
551	0227	Blue Flare	青焰	あおいほのお
552	0228	Fiery Dance	火之舞	ほのおのまい
553	0229	Freeze Shock	冰冻伏特	フリーズボルト
554	022A	Ice Burn	极寒冷焰	コールドフレア
555	022B	Snarl	大声咆哮	バークアウト
556	022C	Icicle Crash	冰柱坠击	つららおとし
557	022D	V-create	Ｖ热焰	Ｖジェネレート
558	022E	Fusion Flare	交错火焰	クロスフレイム
559	022F	Fusion Bolt	交错闪电	クロスサンダー
560	0230	Flying Press	飞身重压	フライングプレス
561	0231	Mat Block	掀榻榻米	たたみがえし
562	0232	Belch	打嗝	ゲップ
563	0233	Rototiller	耕地	たがやす
564	0234	Sticky Web	黏黏网	ねばねばネット
565	0235	Fell Stinger	致命针刺	とどめばり
566	0236	Phantom Force	潜灵奇袭	ゴーストダイブ
567	0237	Trick-or-Treat	万圣夜	ハロウィン
568	0238	Noble Roar	战吼	おたけび
569	0239	Ion Deluge	等离子浴	プラズマシャワー
570	023A	Parabolic Charge	抛物面充电	パラボラチャージ
571	023B	Forest’s Curse	#N/A	#N/A
572	023C	Petal Blizzard	落英缤纷	はなふぶき
573	023D	Freeze-Dry	冷冻干燥	フリーズドライ
574	023E	Disarming Voice	魅惑之声	チャームボイス
575	023F	Parting Shot	抛下狠话	すてゼリフ
576	0240	Topsy-Turvy	颠倒	ひっくりかえす
